school_name,school_id,original_official_site_url,reason
国际关系学院,367871,,not-found-after-search
中共中央党校(国家行政学院),367928,,not-found-after-search
中国农业科学院,367905,,not-found-after-search
中国林业科学研究院,367899,,not-found-after-search
中国建筑设计研究院,367904,,not-found-after-search
北京机械工业自动化研究所,367911,,not-found-after-search
北京机电研究所,367912,,not-found-after-search
中国农业机械化科学研究院,367913,,not-found-after-search
核工业第二研究设计院,367914,,not-found-after-search
中国工程物理研究院,367848,,not-found-after-search
中国航空研究院,679452,,not-found-after-search
中国航空研究院(北京航空精密机械研究所),367798,,not-found-after-search
中国航空研究院(625所),367800,,not-found-after-search
中国航空规划设计研究总院有限公司,367801,,not-found-after-search
中国航空研究院(628所),367802,,not-found-after-search
中国航空研究院(北京长城计量测试技术研究所),367795,,not-found-after-search
中国电子科技集团有限公司研究生院,683178,,not-found-after-search
中国兵器科学研究院,3274440427,,not-found-after-search
中国航天科工集团第二研究院,367812,,not-found-after-search
中国航天科工集团第二研究院207所,3119008463,,not-found-after-search
中国航天系统科学与工程研究院,367813,,not-found-after-search
中国航天科工集团第三研究院,367814,,not-found-after-search
中国航天空气动力技术研究院,367807,,not-found-after-search
中国石油勘探开发研究院,367781,,not-found-after-search
北京橡胶工业研究设计院,367783,,not-found-after-search
北京市科学技术研究院资源环境研究所,367784,,not-found-after-search
交通运输部公路科学研究所,367788,,not-found-after-search
电信科学技术研究院,367789,,not-found-after-search
北京生物制品研究所,367793,,not-found-after-search
国家体育总局体育科学研究所,2107934856,,not-found-after-search
中国气象科学研究院,367839,,not-found-after-search
国家海洋环境预报中心,367840,,not-found-after-search
中国地震局地球物理研究所,367841,,not-found-after-search
中国地震局地震预测研究所,367843,,not-found-after-search
中国舰船研究院,50084393,,not-found-after-search
中国石油化工股份有限公司石油化工科学研究院,367837,,not-found-after-search
北京市科学技术研究院城市安全与环境科学研究所,367803,,not-found-after-search
北京市生态环境保护科学研究院,367851,,not-found-after-search
北京市心肺血管疾病研究所,367852,,not-found-after-search
首都儿科研究所,367825,,not-found-after-search
中央社会主义学院,3092428604,,not-found-after-search
国防大学,367819,,not-found-after-search
陆军航空兵学院,688910089,,not-found-after-search
陆军防化学院,367820,,not-found-after-search
空军指挥学院,367826,,not-found-after-search
军事航天部队航天工程大学,367824,,not-found-after-search
军事科学院,367817,,not-found-after-search
南开大学,367949,,not-found-after-search
天津医科大学,367938,,not-found-after-search
天津音乐学院,367945,,not-found-after-search
中钢集团天津地质研究院有限公司,367939,,not-found-after-search
核工业理化工程研究院,367940,,not-found-after-search
国家海洋技术中心,367943,,not-found-after-search
中国舰船研究院(天津航海仪器研究所),367947,,not-found-after-search
海军勤务学院,1864277803,,not-found-after-search
武警指挥学院,688912256,,not-found-after-search
武警后勤学院,688912355,,not-found-after-search
河北大学,367977,,not-found-after-search
华北理工大学,367978,,not-found-after-search
唐山师范学院,3274440611,,not-found-after-search
中国舰船研究院(邯郸净化设备研究所),367971,,not-found-after-search
太原师范学院,688908348,,not-found-after-search
山西中医药大学,8243981,,not-found-after-search
中国兵器科学研究院(北方自动控制技术研究所),367989,,not-found-after-search
山西省中医药研究院,367988,,not-found-after-search
内蒙古医科大学,368002,,not-found-after-search
内蒙古民族大学,368006,,not-found-after-search
赤峰学院,499721721,,not-found-after-search
大连海洋大学,368042,,not-found-after-search
沈阳药科大学,368044,,not-found-after-search
中国航空研究院(601所),368014,,not-found-after-search
中国航空研究院(606所),368021,,not-found-after-search
中国航空研究院(626所),368022,,not-found-after-search
中国舰船研究院(大连测控技术研究所),368025,,not-found-after-search
海军大连舰艇学院,368027,,not-found-after-search
吉林农业大学,368061,,not-found-after-search
吉林工程技术师范学院,2807891311,,not-found-after-search
吉林财经大学,368057,,not-found-after-search
中共吉林省委党校(吉林省行政学院),368072,,not-found-after-search
空军航空大学,679653,,not-found-after-search
黑龙江大学,368090,,not-found-after-search
牡丹江师范学院,677777,,not-found-after-search
黑龙江东方学院,302974683,,not-found-after-search
中国航空研究院(627所),368081,,not-found-after-search
中国舰船研究院(哈尔滨船舶锅炉涡轮机研究所),368082,,not-found-after-search
黑龙江省中医药科学院,368088,,not-found-after-search
上海杉达学院,3274440862,,not-found-after-search
上海发电设备成套设计研究院,368106,,not-found-after-search
中国航空研究院(640所),368103,,not-found-after-search
上海航天技术研究院,368101,,not-found-after-search
上海化工研究院,368099,,not-found-after-search
电信科学技术第一研究所,368113,,not-found-after-search
上海生物制品研究所,368114,,not-found-after-search
中国舰船研究院(上海船舶设备研究所),368125,,not-found-after-search
中国舰船研究院(上海船用柴油机研究所),368118,,not-found-after-search
中国舰船研究院(上海船舶电子设备研究所),368110,,not-found-after-search
上海国际问题研究院,368120,,not-found-after-search
中共上海市委党校,368122,,not-found-after-search
南京航空航天大学,368181,,not-found-after-search
南京农业大学,368198,,not-found-after-search
盐城师范学院,3274412205,,not-found-after-search
常州工学院,3274413736,,not-found-after-search
国网电力科学研究院,368154,,not-found-after-search
南京水利科学研究院,368153,,not-found-after-search
中国航空研究院(609所),368334,,not-found-after-search
中国舰船研究院(江苏自动化研究所),368165,,not-found-after-search
中共江苏省委党校,368176,,not-found-after-search
陆军指挥学院,368168,,not-found-after-search
海军指挥学院,368173,,not-found-after-search
空军勤务学院,368174,,not-found-after-search
网络空间部队第五十六研究所,368175,,not-found-after-search
宁波工程学院,2807891075,,not-found-after-search
浙江警察学院,2807891134,,not-found-after-search
浙大宁波理工学院,3274414374,,not-found-after-search
阜阳师范大学,688908731,,not-found-after-search
滁州学院,3274412345,,not-found-after-search
安徽财经大学,368232,,not-found-after-search
宿州学院,3416379469,,not-found-after-search
陆军兵种大学,3416382502,,not-found-after-search
福建师范大学,368246,,not-found-after-search
龙岩学院,3274411999,,not-found-after-search
自然资源部第三海洋研究所,368247,,not-found-after-search
上饶师范学院,3274412490,,not-found-after-search
宜春学院,302961817,,not-found-after-search
井冈山大学,302962123,,not-found-after-search
陆军步兵学院,688910183,,not-found-after-search
山东大学,368289,,not-found-after-search
济宁医学院,302964566,,not-found-after-search
德州学院,3274412563,,not-found-after-search
泰山学院,3416379589,,not-found-after-search
枣庄学院,3274413522,,not-found-after-search
潍坊学院,3274413804,,not-found-after-search
中国兵器科学研究院(山东非金属材料研究所),368281,,not-found-after-search
海军潜艇学院,368272,,not-found-after-search
海军航空大学,368270,,not-found-after-search
信阳师范大学,368313,,not-found-after-search
郑州航空工业管理学院,688908956,,not-found-after-search
中国航空研究院(014中心),368307,,not-found-after-search
中国航空研究院(613所),368303,,not-found-after-search
中国舰船研究院(洛阳船舶材料研究所),368310,,not-found-after-search
网络空间部队信息工程大学,368312,,not-found-after-search
中国地质大学(武汉),368369,,not-found-after-search
湖北美术学院,368374,,not-found-after-search
湖北工程学院,3416379650,,not-found-after-search
湖北理工学院,3274413657,,not-found-after-search
中钢集团武汉安全环保研究院,368338,,not-found-after-search
中国航空研究院(610所),368339,,not-found-after-search
航天动力技术研究院(42所),368332,,not-found-after-search
中国地震局地震研究所,368329,,not-found-after-search
中国舰船研究院(武汉数字工程研究所),368336,,not-found-after-search
中国舰船研究院(中国舰船研究设计中心),368340,,not-found-after-search
中国舰船研究院(武汉船用电力推进装置研究所),368341,,not-found-after-search
中国舰船研究院(华中光电技术研究所),368342,,not-found-after-search
中国舰船研究院(武汉船舶通信研究所),368343,,not-found-after-search
中国舰船研究院(武汉第二船舶设计研究所),368353,,not-found-after-search
湖北省社会科学院,368337,,not-found-after-search
海军工程大学,368349,,not-found-after-search
空军预警学院,368350,,not-found-after-search
火箭军指挥学院,368335,,not-found-after-search
信息支援部队工程大学,3416382837,,not-found-after-search
湖南中医药大学,368389,,not-found-after-search
衡阳师范学院,2125728184,,not-found-after-search
长沙学院,3274413879,,not-found-after-search
湖南城市学院,2807891852,,not-found-after-search
中国航空研究院(608所),368384,,not-found-after-search
湖南省中医药研究院,368382,,not-found-after-search
华南农业大学,368413,,not-found-after-search
韶关学院,3274412711,,not-found-after-search
韩山师范学院,3416379770,,not-found-after-search
岭南师范学院,3274412898,,not-found-after-search
星海音乐学院,368426,,not-found-after-search
南方科技大学,1865236958,,not-found-after-search
中共广东省委党校,368407,,not-found-after-search
广东省心血管病研究所,368406,,not-found-after-search
广西医科大学,368434,,not-found-after-search
桂林医科大学,678380,,not-found-after-search
陆军特种作战学院,368412,,not-found-after-search
长江师范学院,3274415400,,not-found-after-search
重庆中医药学院,3416382379,,not-found-after-search
陆军军医大学,368456,,not-found-after-search
联勤保障部队工程大学,3416382896,,not-found-after-search
成都中医药大学,368488,,not-found-after-search
内江师范学院,3274440987,,not-found-after-search
宜宾学院,3416381895,,not-found-after-search
乐山师范学院,3274440926,,not-found-after-search
成都体育学院,368492,,not-found-after-search
四川音乐学院,368485,,not-found-after-search
西南民族大学,368477,,not-found-after-search
攀枝花学院,2807891970,,not-found-after-search
中国航空研究院(611所),368460,,not-found-after-search
中国航空研究院(624所),368466,,not-found-after-search
电信科学技术研究院(第五研究所),368475,,not-found-after-search
贵州医科大学,368500,,not-found-after-search
贵州中医药大学,368501,,not-found-after-search
遵义师范学院,3274413086,,not-found-after-search
铜仁学院,2807892212,,not-found-after-search
贵阳学院,2125733175,,not-found-after-search
贵州师范学院,3274414450,,not-found-after-search
中国航天科工集团第十研究院,368496,,not-found-after-search
大理大学,368514,,not-found-after-search
红河学院,3274413229,,not-found-after-search
云南财经大学,368511,,not-found-after-search
云南民族大学,368510,,not-found-after-search
玉溪师范学院,3274414092,,not-found-after-search
昆明贵金属研究所,368505,,not-found-after-search
西安工程大学,368563,,not-found-after-search
陕西中医药大学,368565,,not-found-after-search
咸阳师范学院,3274413300,,not-found-after-search
西安文理学院,3274413951,,not-found-after-search
商洛学院,3416381954,,not-found-after-search
西安热工研究院有限公司,368570,,not-found-after-search
中国航空研究院(603所),368553,,not-found-after-search
中国航空研究院(623所),368536,,not-found-after-search
中国航空研究院(630所),368535,,not-found-after-search
中国航空研究院(631所),368524,,not-found-after-search
中国航空研究院(618所),368533,,not-found-after-search
中国兵器科学研究院(西安近代化学研究所),368537,,not-found-after-search
中国兵器科学研究院(西安应用光学研究所),368531,,not-found-after-search
中国兵器科学研究院(西安机电信息技术研究所),368530,,not-found-after-search
中国兵器科学研究院(陕西应用物理化学研究所),368529,,not-found-after-search
中国兵器科学研究院(西北机电工程研究所),368528,,not-found-after-search
中国兵器科学研究院(西安现代控制技术研究所),368527,,not-found-after-search
中国兵器科学研究院(西安电子工程研究所),368526,,not-found-after-search
中国航天科工集团第二研究院(16所),368525,,not-found-after-search
航天动力技术研究院,368532,,not-found-after-search
中国空间技术研究院(西安分院),368538,,not-found-after-search
西安微电子技术研究所,368539,,not-found-after-search
中国航天科技集团有限公司第六研究院第十一研究所,368551,,not-found-after-search
电信科学技术第四研究所(西安),368534,,not-found-after-search
中国舰船研究院(西安精密机械研究所),368542,,not-found-after-search
中共陕西省委党校,368543,,not-found-after-search
火箭军工程大学,368548,,not-found-after-search
武警工程大学,368540,,not-found-after-search
西北核技术研究所,368549,,not-found-after-search
兰州城市学院,3274413379,,not-found-after-search
中国空间技术研究院(510所),368582,,not-found-after-search
天华化工机械及自动化研究设计院有限公司,368581,,not-found-after-search
兰州生物制品研究所,368586,,not-found-after-search
新疆医科大学,368615,,not-found-after-search
